bond_code,bond_name,putback_start,putback_end,convert_start,convert_end,value_date,expire_date,bond_period,hist_adj_count
110044,广电转债,2022-06-27,2024-06-26,2019-01-03,2024-06-26,2018-06-27,2024-06-27,6,1
110045,海澜转债,2022-07-13,2024-04-02,2019-01-21,2024-04-02,2018-07-13,2024-04-03,5.7288,1
110046,圆通转债,2022-11-20,2020-03-22,2019-05-27,2020-03-20,2018-11-20,2020-03-23,1.3397,0
110047,山鹰转债,2022-11-21,2024-11-20,2019-05-27,2024-11-20,2018-11-21,2024-11-21,6,4
110048,福能转债,2022-12-07,2024-12-06,2019-06-14,2024-12-06,2018-12-07,2024-12-07,6,0
110049,海尔转债,2022-12-18,2019-12-16,2019-06-25,2019-12-16,2018-12-18,2019-12-17,0.9973,0
110050,佳都转债,2022-12-19,2020-04-08,2019-06-25,2020-04-08,2018-12-19,2020-04-09,1.3068,0
110051,中天转债,2023-02-28,2021-12-16,2019-09-06,2021-12-16,2019-02-28,2021-12-17,2.8027,0
110052,贵广转债,2023-03-05,2025-03-04,2019-09-11,2025-03-04,2019-03-05,2025-03-05,6,1
110053,苏银转债,2021-03-14,2023-10-19,2019-09-20,2023-10-19,2019-03-14,2023-10-20,4.6055,0
110054,通威转债,2023-03-18,2020-03-16,2019-09-23,2020-03-16,2019-03-18,2020-03-17,0.9945,0
110055,伊力转债,2023-03-15,2025-03-14,2019-09-23,2025-03-14,2019-03-15,2025-03-15,6,0
110056,亨通转债,2023-03-19,2022-12-05,2019-09-26,2022-12-05,2019-03-19,2022-12-06,3.7205,1
110057,现代转债,2023-04-01,2023-06-15,2019-10-08,2023-06-15,2019-04-01,2023-06-16,4.211,0
110058,永鼎转债,2023-04-16,2024-12-19,2019-10-22,2024-12-19,2019-04-16,2024-12-20,5.6849,2
110059,浦发转债,2023-10-28,2025-10-27,2020-05-06,2025-10-27,2019-10-28,2025-10-28,6,0
110060,天路转债,2023-10-28,2025-10-27,2020-05-06,2025-10-27,2019-10-28,2025-10-28,6,1
110061,川投转债,2023-11-11,2024-01-31,2020-05-15,2024-01-31,2019-11-11,2024-02-01,4.2274,0
110062,烽火转债,2023-12-02,2025-12-01,2020-06-08,2025-12-01,2019-12-02,2025-12-02,6,1
110063,鹰19转债,2023-12-13,2025-12-12,2020-06-19,2025-12-12,2019-12-13,2025-12-13,6,5
110064,建工转债,2023-12-20,2025-12-19,2020-06-29,2025-12-19,2019-12-20,2025-12-20,6,2
110065,淮矿转债,2023-12-23,2021-07-01,2020-06-29,2021-07-01,2019-12-23,2021-07-02,1.526,0
110066,盛屯转债,2024-03-02,2022-03-17,2020-09-07,2022-03-17,2020-03-02,2022-03-18,2.0438,0
110067,华安转债,2024-03-12,2026-03-11,2020-09-18,2026-03-11,2020-03-12,2026-03-12,6,1
110068,龙净转债,2024-03-24,2024-12-17,2020-09-30,2024-12-17,2020-03-24,2024-12-18,4.7397,0
110069,瀚蓝转债,2024-04-07,2021-04-27,2020-10-13,2021-04-27,2020-04-07,2021-04-28,1.0575,0
110070,凌钢转债,2024-04-13,2026-04-12,2020-10-19,2026-04-10,2020-04-13,2026-04-13,6,1
110071,湖盐转债,2024-07-10,2022-07-06,2021-01-18,2022-07-06,2020-07-10,2022-07-07,1.9918,0
110072,广汇转债,2024-08-18,2026-08-17,2021-02-24,2026-08-17,2020-08-18,2026-08-18,6,1
110073,国投转债,2024-07-24,2026-07-23,2021-02-01,2026-07-23,2020-07-24,2026-07-24,6,0
110074,精达转债,2024-08-19,2026-08-18,2021-02-25,2026-08-18,2020-08-19,2026-08-19,6,0
110075,南航转债,2024-10-15,2026-10-14,2021-04-21,2026-10-14,2020-10-15,2026-10-15,6,0
110076,华海转债,2024-11-02,2026-11-01,2021-05-06,2026-11-01,2020-11-02,2026-11-02,6,0
110077,洪城转债,2024-11-20,2026-11-19,2021-05-26,2026-11-19,2020-11-20,2026-11-20,6,0
110078,澄星转债,2007-11-12,2012-05-09,2007-11-12,2012-05-10,2007-05-10,2012-05-10,5,0
110079,杭银转债,2023-03-29,2025-07-06,2021-10-08,2025-07-04,2021-03-29,2025-07-07,4.2767,1
110080,东湖转债,2025-04-12,2023-12-05,2021-10-18,2023-12-05,2021-04-12,2023-12-06,2.6521,0
110081,闻泰转债,2025-07-28,2027-07-27,2022-02-07,2027-07-27,2021-07-28,2027-07-28,6,1
110082,宏发转债,2025-10-28,2025-12-11,2022-05-05,2025-12-11,2021-10-28,2025-12-12,4.126,1
110083,苏租转债,2021-11-11,2024-10-17,2022-05-17,2024-10-17,2021-11-11,2024-10-18,2.937,0
110084,贵燃转债,2025-12-27,2027-12-26,2022-07-01,2027-12-26,2021-12-27,2027-12-27,6,1
110085,通22转债,2026-02-24,2028-02-23,2022-09-02,2028-02-23,2022-02-24,2028-02-24,6,0
110086,精工转债,2026-04-22,2028-04-21,2022-10-28,2028-04-21,2022-04-22,2028-04-22,6,0
110087,天业转债,2026-06-23,2028-06-22,2022-12-29,2028-06-22,2022-06-23,2028-06-23,6,1
110088,淮22转债,2026-09-14,2024-04-02,2023-03-20,2024-04-02,2022-09-14,2024-04-03,1.5534,0
110089,兴发转债,2026-09-22,2026-03-03,2023-03-28,2026-03-03,2022-09-22,2026-03-04,3.4493,1
