bond_code,bond_name,putback_start,putback_end,convert_start,convert_end,value_date,expire_date,bond_period,hist_adj_count
113507,天马转债,2022-04-17,2019-11-18,2018-10-23,2019-11-18,2018-04-17,2019-11-19,1.5918,1
113508,新凤转债,2022-04-26,2021-08-31,2018-11-05,2021-08-31,2018-04-26,2021-09-01,3.3507,1
113509,新泉转债,2022-06-04,2021-08-17,2018-12-10,2021-08-17,2018-06-04,2021-08-18,3.2082,1
113510,再升转债,2020-06-19,2020-03-24,2018-12-25,2020-03-24,2018-06-19,2020-03-25,1.7671,0
113511,千禾转债,2022-06-20,2020-05-28,2018-12-26,2020-05-28,2018-06-20,2020-05-29,1.9425,0
113512,景旺转债,2022-07-06,2019-04-23,2019-01-14,2019-04-23,2018-07-06,2019-04-24,0.8,0
113513,安井转债,2022-07-12,2019-07-04,2019-01-18,2019-07-04,2018-07-12,2019-07-05,0.9781,0
113514,威帝转债,2021-07-20,2020-08-30,2019-01-28,2020-08-28,2018-07-20,2020-08-31,2.1178,0
113515,高能转债,2022-07-26,2020-06-17,2019-02-01,2020-06-17,2018-07-26,2020-06-18,1.8959,0
113516,苏农转债,2022-08-02,2024-08-01,2019-02-11,2024-08-01,2018-08-02,2024-08-02,6,0
113517,曙光转债,2022-08-06,2020-03-30,2019-02-11,2020-03-30,2018-08-06,2020-03-31,1.6521,0
113518,顾家转债,2022-09-12,2020-08-27,2019-03-18,2020-08-27,2018-09-12,2020-08-28,1.9616,0
113519,长久转债,2022-11-07,2024-11-06,2019-05-13,2024-11-06,2018-11-07,2024-11-07,6,0
113520,百合转债,2022-11-08,2021-01-06,2019-05-14,2021-01-06,2018-11-08,2021-01-07,2.1671,0
113521,科森转债,2022-11-16,2020-11-26,2019-05-22,2020-11-26,2018-11-16,2020-11-27,2.0329,0
113522,旭升转债,2022-11-22,2020-02-27,2019-05-28,2020-02-27,2018-11-22,2020-02-28,1.2685,0
113523,伟明转债,2022-12-10,2020-02-05,2019-06-14,2020-02-05,2018-12-10,2020-02-06,1.1562,0
113524,奇精转债,2022-12-14,2024-12-13,2019-06-21,2024-12-13,2018-12-14,2024-12-14,6,0
113525,台华转债,2022-12-17,2023-01-05,2019-06-21,2023-01-05,2018-12-17,2023-01-06,4.0575,0
113526,联泰转债,2023-01-23,2025-01-22,2019-07-29,2025-01-22,2019-01-23,2025-01-23,6,1
113527,维格转债,2023-01-24,2025-01-23,2019-07-30,2025-01-23,2019-01-24,2025-01-24,6,1
113528,长城转债,2023-03-01,2021-12-23,2019-09-09,2021-12-23,2019-03-01,2021-12-24,2.8192,0
113529,绝味转债,2023-03-11,2019-11-21,2019-09-16,2019-11-21,2019-03-11,2019-11-22,0.7014,0
113530,大丰转债,2023-03-27,2025-03-26,2019-10-08,2025-03-26,2019-03-27,2025-03-27,6,1
113531,百姓转债,2022-03-29,2020-05-20,2019-10-08,2020-05-20,2019-03-29,2020-05-21,1.1479,0
113532,海环转债,2023-04-02,2025-04-01,2019-10-09,2025-04-01,2019-04-02,2025-04-02,6,2
113533,参林转债,2023-04-03,2020-01-16,2019-10-10,2020-01-16,2019-04-03,2020-01-17,0.789,0
113534,鼎胜转债,2023-04-09,2025-04-08,2019-10-16,2025-04-08,2019-04-09,2025-04-09,6,1
113535,大业转债,2022-05-09,2024-01-15,2019-11-15,2024-01-15,2019-05-09,2024-01-16,4.6932,1
113536,三星转债,2023-05-31,2021-12-30,2019-12-06,2021-12-30,2019-05-31,2021-12-31,2.589,0
113537,文灿转债,2023-06-10,2024-12-17,2019-12-16,2024-12-17,2019-06-10,2024-12-18,5.5288,0
113538,安图转债,2023-06-28,2020-02-18,2020-01-06,2020-02-18,2019-06-28,2020-02-19,0.6466,0
113539,圣达转债,2023-07-03,2020-03-10,2020-01-09,2020-03-10,2019-07-03,2020-03-11,0.6904,0
113540,南威转债,2023-07-15,2020-03-24,2020-01-20,2020-03-24,2019-07-15,2020-03-25,0.6959,0
113541,荣晟转债,2023-07-23,2022-06-27,2020-02-03,2022-06-27,2019-07-23,2022-06-28,2.9342,1
113542,好客转债,2023-08-01,2025-07-31,2020-02-12,2025-07-31,2019-08-01,2025-08-01,6,1
113543,欧派转债,2024-08-16,2021-07-11,2020-02-24,2021-07-09,2019-08-16,2021-07-12,1.9068,0
113544,桃李转债,2023-09-20,2020-09-17,2020-03-26,2020-09-17,2019-09-20,2020-09-18,0.9973,0
113545,金能转债,2023-10-14,2025-10-13,2020-04-20,2025-10-13,2019-10-14,2025-10-14,6,1
113546,迪贝转债,2023-10-23,2025-02-18,2020-04-29,2025-02-18,2019-10-23,2025-02-19,5.3315,2
113547,索发转债,2023-10-24,2020-09-15,2020-04-30,2020-09-15,2019-10-24,2020-09-16,0.8986,0
113548,石英转债,2023-10-28,2022-08-14,2020-05-06,2022-08-12,2019-10-28,2022-08-15,2.8,0
113549,白电转债,2023-11-15,2025-08-28,2020-05-21,2025-08-28,2019-11-15,2025-08-29,5.7918,1
113550,常汽转债,2023-11-18,2022-04-18,2020-05-22,2022-04-18,2019-11-18,2022-04-19,2.4192,0
113551,福特转债,2023-11-18,2020-07-15,2020-05-22,2020-07-15,2019-11-18,2020-07-16,0.6575,1
113552,克来转债,2023-12-02,2020-08-06,2020-06-08,2020-08-06,2019-12-02,2020-08-07,0.6822,0
113553,金牌转债,2023-12-13,2020-12-03,2020-06-19,2020-12-03,2019-12-13,2020-12-04,0.9781,0
113554,仙鹤转债,2023-12-16,2020-09-10,2020-06-22,2020-09-10,2019-12-16,2020-09-11,0.7397,0
113555,振德转债,2023-12-19,2020-12-03,2020-06-29,2020-12-03,2019-12-19,2020-12-04,0.9616,0
113556,至纯转债,2023-12-20,2021-01-25,2020-06-29,2021-01-25,2019-12-20,2021-01-26,1.1041,1
113557,森特转债,2023-12-19,2021-04-29,2020-06-29,2021-04-29,2019-12-19,2021-04-30,1.3644,0
113558,日月转债,2023-12-23,2020-08-18,2020-06-29,2020-08-18,2019-12-23,2020-08-19,0.6575,0
113559,永创转债,2023-12-23,2021-06-27,2020-06-29,2021-06-25,2019-12-23,2021-06-28,1.5151,0
113561,正裕转债,2023-12-31,2025-06-18,2020-07-07,2025-06-18,2019-12-31,2025-06-19,5.4712,1
113562,璞泰转债,2023-01-02,2020-12-20,2020-07-08,2020-12-18,2020-01-02,2020-12-21,0.9726,0
113563,柳药转债,2024-01-16,2026-01-15,2020-07-22,2026-01-15,2020-01-16,2026-01-16,6,0
113564,天目转债,2024-02-28,2021-05-18,2020-09-07,2021-05-18,2020-02-28,2021-05-19,1.2219,0
113565,宏辉转债,2024-02-26,2025-09-18,2020-09-03,2025-09-18,2020-02-26,2025-09-19,5.5671,0
113566,翔港转债,2024-02-28,2024-04-14,2020-09-07,2024-04-12,2020-02-28,2024-04-15,4.1312,0
113567,君禾转债,2024-03-04,2023-03-14,2020-09-10,2023-03-14,2020-03-04,2023-03-15,3.0301,0
113568,新春转债,2024-03-06,2022-06-12,2020-09-14,2022-06-10,2020-03-06,2022-06-13,2.2712,0
113569,科达转债,2024-03-09,2025-10-20,2020-09-14,2025-10-20,2020-03-09,2025-10-21,5.6219,2
113570,百达转债,2024-03-11,2023-03-23,2020-09-17,2023-03-23,2020-03-11,2023-03-24,3.0356,0
113571,博特转债,2024-03-12,2020-11-17,2020-09-18,2020-11-17,2020-03-12,2020-11-18,0.6877,1
113572,三祥转债,2024-03-12,2021-09-23,2020-09-18,2021-09-23,2020-03-12,2021-09-24,1.537,0
113573,纵横转债,2024-04-17,2024-12-04,2020-10-23,2024-12-04,2020-04-17,2024-12-05,4.6384,1
113574,华体转债,2024-03-31,2026-03-30,2020-10-09,2026-03-30,2020-03-31,2026-03-31,6,2
113575,东时转债,2024-04-09,2026-04-08,2020-10-15,2026-04-08,2020-04-09,2026-04-09,6,1
113576,起步转债,2024-04-10,2025-01-16,2020-10-16,2025-01-16,2020-04-10,2025-01-17,4.7753,2
113577,春秋转债,2024-04-14,2025-11-06,2020-10-20,2025-11-06,2020-04-14,2025-11-07,5.5699,0
113578,全筑转债,2024-04-20,2023-11-12,2020-10-26,2023-12-13,2020-04-20,2023-11-13,3.5671,1
113579,健友转债,2024-04-23,2026-04-22,2020-10-29,2026-04-22,2020-04-23,2026-04-23,6,0
113580,康隆转债,2024-04-23,2021-11-18,2020-10-29,2021-11-18,2020-04-23,2021-11-19,1.5753,0
113581,龙蟠转债,2024-04-23,2020-12-10,2020-10-29,2020-12-10,2020-04-23,2020-12-11,0.6356,0
113582,火炬转债,2024-05-27,2025-04-22,2020-12-02,2025-04-22,2020-05-27,2025-04-23,4.9096,0
113583,益丰转债,2024-06-01,2021-03-04,2020-12-07,2021-03-04,2020-06-01,2021-03-05,0.7589,0
113584,家悦转债,2024-06-05,2026-06-04,2020-12-14,2026-06-04,2020-06-05,2026-06-05,6,1
113585,寿仙转债,2024-06-09,2023-06-05,2020-12-15,2023-06-05,2020-06-09,2023-06-06,2.9918,0
113586,上机转债,2024-06-09,2021-01-19,2020-12-15,2021-01-19,2020-06-09,2021-01-20,0.6164,0
113587,泛微转债,2024-06-15,2021-02-22,2020-12-21,2021-02-22,2020-06-15,2021-02-23,0.6932,0
113588,润达转债,2024-06-18,2026-06-16,2020-12-23,2026-06-16,2020-06-17,2026-06-17,6,0
113589,天创转债,2024-06-24,2026-06-23,2021-01-04,2026-06-23,2020-06-24,2026-06-24,6,0
113590,海容转债,2024-06-29,2021-03-07,2021-01-04,2021-03-05,2020-06-29,2021-03-08,0.6904,0
113591,胜达转债,2024-07-01,2023-12-26,2021-01-08,2023-12-26,2020-07-01,2023-12-27,3.4904,2
113592,安20转债,2024-07-08,2021-03-07,2021-01-14,2021-03-05,2020-07-08,2021-03-08,0.6658,0
113593,沪工转债,2024-07-20,2026-01-21,2021-01-25,2026-01-21,2020-07-20,2026-01-22,5.5123,0
113594,淳中转债,2024-07-21,2024-04-11,2021-01-27,2024-04-11,2020-07-21,2024-04-12,3.7288,1
113595,花王转债,2024-07-21,2024-02-26,2021-01-27,2024-02-26,2020-07-21,2024-02-27,3.6055,1
113596,城地转债,2024-07-28,2024-12-17,2021-02-04,2024-12-17,2020-07-28,2024-12-18,4.3945,2
113597,佳力转债,2024-07-30,2026-07-29,2021-02-05,2026-07-29,2020-07-30,2026-07-30,6,1
113598,法兰转债,2024-07-31,2025-06-19,2021-02-08,2025-06-19,2020-07-31,2025-06-20,4.8904,0
113599,嘉友转债,2024-08-05,2022-07-25,2021-02-18,2022-07-25,2020-08-05,2022-07-26,1.9726,0
113600,新星转债,2024-08-13,2024-11-20,2021-02-19,2024-11-20,2020-08-13,2024-11-21,4.2767,2
113601,塞力转债,2024-08-21,2026-04-09,2021-03-01,2026-04-09,2020-08-21,2026-04-10,5.6384,3
113602,景20转债,2024-08-24,2024-08-12,2021-03-01,2024-08-12,2020-08-24,2024-08-13,3.9727,2
113603,东缆转债,2024-09-24,2021-11-29,2021-03-30,2021-11-29,2020-09-24,2021-11-30,1.1836,0
113604,多伦转债,2024-10-13,2023-12-25,2021-04-19,2023-12-25,2020-10-13,2023-12-26,3.2027,1
113605,大参转债,2024-10-22,2026-10-21,2021-04-28,2026-10-21,2020-10-22,2026-10-22,6,1
113606,荣泰转债,2024-10-30,2025-09-11,2021-05-06,2025-09-11,2020-10-30,2025-09-12,4.8712,0
113607,伟20转债,2024-11-02,2021-12-28,2021-05-06,2021-12-28,2020-11-02,2021-12-29,1.1562,0
113608,威派转债,2024-11-09,2025-03-30,2021-05-13,2025-03-28,2020-11-09,2025-03-31,4.3918,1
113609,永安转债,2024-11-24,2025-08-11,2021-05-31,2025-08-11,2020-11-24,2025-08-12,4.7178,1
113610,灵康转债,2024-12-01,2026-11-30,2021-06-07,2026-11-30,2020-12-01,2026-12-01,6,2
113611,福20转债,2024-12-01,2021-07-28,2021-06-07,2021-07-28,2020-12-01,2021-07-29,0.6575,0
113612,永冠转债,2024-12-08,2021-09-09,2021-06-15,2021-09-09,2020-12-08,2021-09-10,0.7562,0
113614,健20转债,2024-12-17,2021-12-14,2021-06-23,2021-12-14,2020-12-17,2021-12-15,0.9918,0
113615,金诚转债,2024-12-23,2026-12-22,2021-06-29,2026-12-22,2020-12-23,2026-12-23,6,0
113616,韦尔转债,2024-12-29,2026-12-27,2021-07-05,2026-12-27,2020-12-28,2026-12-28,6,0
113618,美诺转债,2025-01-14,2027-01-13,2021-07-20,2027-01-13,2021-01-14,2027-01-14,6,1
113619,世运转债,2025-01-20,2024-12-02,2021-07-26,2024-12-02,2021-01-20,2024-12-03,3.8712,0
113620,傲农转债,2025-03-10,2022-08-31,2021-09-16,2022-08-31,2021-03-10,2022-09-01,1.4795,0
113621,彤程转债,2025-01-26,2025-11-13,2021-08-02,2025-11-13,2021-01-26,2025-11-14,4.8027,0
113622,杭叉转债,2025-03-25,2023-03-23,2021-10-08,2023-03-23,2021-03-25,2023-03-24,1.9973,1
113623,凤21转债,2025-04-08,2026-03-10,2021-10-14,2026-03-10,2021-04-08,2026-03-11,4.926,0
113624,正川转债,2025-04-28,2027-04-27,2021-11-08,2027-04-27,2021-04-28,2027-04-28,6,1
113625,江山转债,2025-06-11,2027-06-10,2021-12-20,2027-06-10,2021-06-11,2027-06-11,6,1
113626,伯特转债,2025-06-29,2023-10-30,2022-01-05,2023-10-30,2021-06-29,2023-10-31,2.3397,0
113627,太平转债,2025-07-15,2027-07-14,2022-01-21,2027-07-14,2021-07-15,2027-07-15,6,1
113628,晨丰转债,2025-08-23,2025-11-20,2022-02-28,2025-11-20,2021-08-23,2025-11-21,4.2493,0
113629,泉峰转债,2025-09-14,2025-07-29,2022-03-22,2025-07-29,2021-09-14,2025-07-30,3.8767,2
113630,赛伍转债,2025-10-27,2022-07-31,2022-05-05,2022-07-29,2021-10-27,2022-08-01,0.7616,1
113631,皖天转债,2025-11-08,2027-11-07,2022-05-12,2027-11-07,2021-11-08,2027-11-08,6,0
113632,鹤21转债,2025-11-17,2027-11-16,2022-05-23,2027-11-16,2021-11-17,2027-11-17,6,2
113633,科沃转债,2025-11-30,2027-11-29,2022-06-06,2027-11-29,2021-11-30,2027-11-30,6,0
113634,珀莱转债,2025-12-08,2027-12-07,2022-06-14,2027-12-07,2021-12-08,2027-12-08,6,0
113635,升21转债,2025-12-10,2022-09-28,2022-06-16,2022-09-28,2021-12-10,2022-09-29,0.8027,0
113636,甬金转债,2025-12-13,2027-12-12,2022-06-17,2027-12-12,2021-12-13,2027-12-13,6,1
113637,华翔转债,2025-12-22,2025-06-11,2022-06-28,2025-06-11,2021-12-22,2025-06-12,3.474,0
113638,台21转债,2025-12-29,2027-12-28,2022-07-05,2027-12-28,2021-12-29,2027-12-29,6,0
113639,华正转债,2026-01-24,2026-02-23,2022-07-28,2026-02-13,2022-01-24,2026-02-24,4.0877,0
113640,苏利转债,2026-02-16,2028-02-15,2022-08-22,2028-02-15,2022-02-16,2028-02-16,6,1
113641,华友转债,2026-02-24,2025-09-28,2022-09-02,2025-09-26,2022-02-24,2025-09-29,3.5973,2
113642,上22转债,2026-03-01,2022-11-15,2022-09-07,2022-11-15,2022-03-01,2022-11-16,0.7123,0
113643,风语转债,2026-03-25,2028-03-24,2022-10-10,2028-03-24,2022-03-25,2028-03-25,6,1
113644,艾迪转债,2026-04-15,2028-04-14,2022-11-18,2028-04-14,2022-04-15,2028-04-15,6,1
113646,永吉转债,2026-04-14,2028-04-13,2022-10-20,2028-04-13,2022-04-14,2028-04-14,6,0
113647,禾丰转债,2026-04-22,2028-04-21,2022-10-28,2028-04-21,2022-04-22,2028-04-22,6,0
113648,巨星转债,2026-04-25,2028-04-24,2022-10-31,2028-04-24,2022-04-25,2028-04-25,6,0
113649,丰山转债,2026-06-27,2028-06-26,2023-01-03,2028-06-26,2022-06-27,2028-06-27,6,0
113650,博22转债,2026-07-01,2028-06-30,2023-01-09,2028-06-30,2022-07-01,2028-07-01,6,0
113651,松霖转债,2026-07-20,2026-03-22,2023-01-30,2026-03-20,2022-07-20,2026-03-23,3.6767,0
113652,伟22转债,2026-07-22,2028-07-21,2023-01-30,2028-07-21,2022-07-22,2028-07-22,6,1
113653,永22转债,2026-07-28,2026-04-21,2023-02-03,2026-04-21,2022-07-28,2026-04-22,3.737,2
113654,永02转债,2026-08-04,2028-08-03,2023-02-10,2028-08-03,2022-08-04,2028-08-04,6,1
113655,欧22转债,2027-08-05,2028-08-04,2023-02-13,2028-08-04,2022-08-05,2028-08-05,6,1
113656,嘉诚转债,2026-09-01,2028-08-31,2023-03-07,2028-08-31,2022-09-01,2028-09-01,6,0
113657,再22转债,2024-09-29,2026-01-20,2023-04-12,2026-01-20,2022-09-29,2026-01-21,3.3151,1
113658,密卫转债,2025-09-16,2027-09-15,2023-03-22,2027-09-15,2022-09-16,2027-09-16,5,1
113659,莱克转债,2026-10-14,2028-10-13,2023-04-20,2028-10-13,2022-10-14,2028-10-14,6,0
113660,寿22转债,2026-11-17,2028-11-16,2023-05-23,2028-11-16,2022-11-17,2028-11-17,6,0
113661,福22转债,2026-11-22,2028-11-21,2023-05-29,2028-11-21,2022-11-22,2028-11-22,6,1
113662,豪能转债,2026-11-25,2024-12-11,2023-06-01,2024-12-11,2022-11-25,2024-12-12,2.0493,0
113663,新化转债,2026-11-28,2025-12-25,2023-06-02,2025-12-25,2022-11-28,2025-12-26,3.0795,1
113664,大元转债,2026-12-05,2025-09-16,2023-06-09,2025-09-16,2022-12-05,2025-09-17,2.7863,0
113665,汇通转债,2026-12-15,2028-12-14,2023-06-21,2028-12-14,2022-12-15,2028-12-15,6,1
113666,爱玛转债,2027-02-23,2029-02-22,2023-09-01,2029-02-22,2023-02-23,2029-02-23,6,0
113667,春23转债,2027-03-17,2029-03-16,2023-09-25,2029-03-16,2023-03-17,2029-03-17,6,0
113668,鹿山转债,2027-03-27,2025-10-19,2023-10-09,2025-10-17,2023-03-27,2025-10-20,2.5699,1
113669,景23转债,2027-04-04,2025-10-08,2023-10-11,2025-09-30,2023-04-04,2025-10-09,2.5178,0
113670,金23转债,2027-04-17,2029-04-16,2023-10-23,2029-04-16,2023-04-17,2029-04-17,6,0
113671,武进转债,2027-07-10,2029-07-09,2024-01-15,2029-07-09,2023-07-10,2029-07-10,6,0
113672,福蓉转债,2027-07-18,2026-01-28,2024-01-24,2026-01-28,2023-07-18,2026-01-29,2.537,0
113673,岱美转债,2027-07-18,2029-07-17,2024-01-24,2029-07-17,2023-07-18,2029-07-18,6,1
113674,华设转债,2027-07-21,2029-07-20,2024-01-29,2029-07-20,2023-07-21,2029-07-21,6,0
113675,新23转债,2027-08-11,2025-10-29,2024-02-19,2025-10-29,2023-08-11,2025-10-30,2.2219,0
113676,荣23转债,2027-08-18,2026-03-24,2024-02-26,2026-03-24,2023-08-18,2026-03-25,2.6027,1
113677,华懋转债,2027-09-14,2029-09-13,2024-03-20,2029-09-13,2023-09-14,2029-09-14,6,0
113678,中贝转债,2027-10-19,2029-10-18,2024-04-25,2029-10-18,2023-10-19,2029-10-19,6,1
113679,芯能转债,2027-10-26,2029-10-25,2024-05-06,2029-10-25,2023-10-26,2029-10-26,6,0
113680,丽岛转债,2027-11-15,2029-11-14,2024-05-21,2029-11-14,2023-11-15,2029-11-15,6,0
113681,镇洋转债,2027-12-29,2029-12-28,2024-07-05,2029-12-28,2023-12-29,2029-12-29,6,0
113682,益丰转债,2028-03-04,2030-03-03,2024-09-09,2030-03-03,2024-03-04,2030-03-04,6,0
113683,伟24转债,2028-03-28,2025-12-17,2024-10-08,2025-12-17,2024-03-28,2025-12-18,1.726,0
113684,湘泵转债,2028-04-01,2025-04-08,2024-10-09,2025-04-08,2024-04-01,2025-04-09,1.0219,0
113685,升24转债,2028-06-14,2025-11-13,2024-12-20,2025-11-13,2024-06-14,2025-11-14,1.4192,0
113686,泰瑞转债,2028-07-02,2030-07-01,2025-01-08,2030-07-01,2024-07-02,2030-07-02,6,0
113687,振华转债,2028-07-12,2030-07-11,2025-01-20,2030-07-11,2024-07-12,2030-07-12,6,0
113688,国检转债,2028-10-17,2030-10-16,2025-04-23,2030-10-16,2024-10-17,2030-10-17,6,0
113689,洛凯转债,2028-10-17,2025-11-20,2025-04-23,2025-11-20,2024-10-17,2025-11-21,1.0959,0
113690,豪24转债,2028-10-23,2025-10-12,2025-04-29,2025-10-10,2024-10-23,2025-10-13,0.9726,0
113691,和邦转债,2028-10-28,2030-10-27,2025-05-06,2030-10-27,2024-10-28,2030-10-28,6,0
113692,保隆转债,2028-10-31,2030-10-30,2025-05-06,2030-10-30,2024-10-31,2030-10-31,6,0
113693,志邦转债,2030-03-18,2031-03-17,2025-09-24,2031-03-17,2025-03-18,2031-03-18,6,0
113694,清源转债,2029-04-08,2031-04-07,2025-10-14,2031-04-07,2025-04-08,2031-04-08,6,0
113695,华辰转债,2029-06-20,2031-06-19,2025-12-26,2031-06-19,2025-06-20,2031-06-20,6,0
113696,伯25转债,2029-07-01,2031-06-30,2026-01-07,2031-06-30,2025-07-01,2031-07-01,6,0
113697,应流转债,2029-09-19,2031-09-18,2026-03-25,2031-09-18,2025-09-19,2031-09-19,6,0
113698,凯众转债,2029-08-15,2031-08-14,2026-02-24,2031-08-14,2025-08-15,2031-08-15,6,0
113699,金25转债,2029-09-26,2031-09-25,2026-04-10,2031-09-25,2025-09-26,2031-09-26,6,0
113700,海天转债,2030-02-05,2032-02-04,2026-08-11,2032-02-04,2026-02-05,2032-02-05,6,0
113701,祥和转债,2030-03-03,2032-03-02,2026-09-09,2032-03-02,2026-03-03,2032-03-03,6,0
115001,钒钛债1,,,,,,2012-11-27,6,0
115002,国安债1,,,,,,2013-09-13,6,0
115003,中兴债1,,,,,,2013-01-30,5,0
117001,13福星债,2014-07-14,2014-10-13,2014-04-14,2014-07-25,2013-10-14,2014-10-14,1,0
117002,14海宁债,2016-05-01,2016-07-30,2015-08-03,2016-07-27,2014-07-31,2016-07-31,2,0
117003,14歌尔债,2017-03-14,2017-05-09,2015-03-19,2017-05-18,2014-09-10,2017-05-10,2.6658,0
117004,14沪美债,2015-09-12,2015-12-11,2015-06-12,2015-12-11,2014-12-12,2015-12-12,1,0
117005,14卡森01,2016-09-29,2016-11-08,2015-06-29,2016-12-29,2014-12-29,2016-11-09,1.8658,0
117006,15美大债,2016-10-26,2015-07-28,2015-07-29,2017-01-23,2015-01-26,2015-07-29,0.5041,0
117007,15光韵达,2015-12-21,2015-11-29,2015-09-23,2016-03-16,2015-03-20,2015-11-30,0.6986,0
117008,15东集01,2017-04-29,2016-10-19,2016-07-29,2017-07-26,2015-07-29,2016-10-20,1.2301,0
117009,15九洲债,2018-02-19,2018-08-17,2016-02-22,2018-08-15,2015-08-18,2018-08-18,3,1
117010,15中基债,,2017-03-12,2017-01-25,2017-02-22,2015-10-22,2017-03-13,1.3918,0
117011,15大重债,,2016-12-28,2016-05-27,2016-12-29,2015-11-27,2016-12-29,1.0904,0
117012,15世宝01,2016-05-19,2016-06-28,2016-05-19,2016-07-04,2015-11-18,2016-06-29,0.6137,1
117013,15纳海债,2017-06-18,2017-02-13,2017-02-03,2017-02-13,2015-12-18,2017-02-14,1.1616,0
117014,15大族01,2015-12-28,2018-05-15,2016-06-29,2018-05-16,2015-12-28,2018-05-16,2.3836,0
117015,15雅本债,2017-06-30,2017-12-29,2016-09-29,2017-12-27,2015-12-30,2017-12-30,2,1
117016,16华泰01,2018-11-26,2019-02-25,2016-08-26,2019-02-26,2016-02-26,2019-02-26,3,0
117017,16山田01,2016-09-19,2017-08-29,2016-09-19,2017-08-29,2016-03-14,2017-08-30,1.463,0
117018,16星星01,2017-05-03,2019-05-02,2016-11-03,2019-04-30,2016-05-03,2019-05-03,3,1
117019,16卓越EB,2018-10-30,2017-10-17,2016-10-28,2017-10-17,2016-04-28,2017-10-18,1.474,0
117020,15正邦债,2017-08-25,2016-07-18,2016-05-26,2016-07-19,2015-11-25,2016-07-19,0.6493,0
117021,16星星02,2017-05-17,2019-05-16,2016-11-18,2019-05-14,2016-05-17,2019-05-17,3,1
117022,16配投01,2019-02-28,2019-05-29,2017-05-31,2019-05-27,2016-05-30,2019-05-30,3,1
117023,15名轩03,,2016-10-25,2016-04-26,2016-10-26,2015-10-26,2016-10-26,1,1
117024,15宝利来,,2016-08-02,2016-07-19,2016-08-03,2015-05-20,2016-08-03,1.2082,0
117025,16万泽01,2017-06-29,2018-05-30,2016-12-29,2018-05-30,2016-06-29,2018-05-31,1.9205,0
117026,16万泽02,2017-06-29,2018-06-28,2016-12-29,2018-06-28,2016-06-29,2018-06-29,2,1
117027,16配投02,2019-04-14,2019-07-13,2017-07-14,2019-07-11,2016-07-14,2019-07-14,3,1
117028,16本钢01,2017-07-22,2019-07-21,2017-01-26,2019-07-22,2016-07-22,2019-07-22,3,0
117029,15东集EB,2017-03-23,2016-08-18,2016-07-28,2016-08-19,2015-06-23,2016-08-19,1.1589,0
117030,16赛纳01,,2018-07-27,2017-10-09,2018-07-25,2016-07-28,2018-07-28,2,0
117031,16长盈债,2017-08-03,2017-08-29,2017-02-03,2017-08-30,2016-08-03,2017-08-30,1.074,0
117032,16星星03,2017-08-02,2019-08-01,2017-02-03,2019-07-30,2016-08-02,2019-08-02,3,1
117033,16中泰EB,2017-08-16,2019-08-15,2017-08-18,2019-08-13,2016-08-16,2019-08-16,3,0
117034,16配投03,2019-05-12,2019-08-11,2017-08-14,2019-08-09,2016-08-12,2019-08-12,3,0
117035,16东莞EB,,2018-08-18,2017-02-23,2018-08-15,2016-08-19,2018-08-19,2,0
117036,16金瑞EB,2019-02-19,2017-08-03,2017-02-22,2017-08-04,2016-08-19,2017-08-04,0.9589,0
117037,16润和债,2021-02-26,2020-09-07,2017-02-27,2021-08-23,2016-08-26,2020-09-08,4.0384,2
117038,16赛纳02,,2018-09-04,2017-10-09,2018-08-31,2016-09-05,2018-09-05,2,0
117039,16飞投01,2017-09-06,2019-09-05,2017-03-07,2019-09-03,2016-09-06,2019-09-06,3,0
117040,16苏协01,2017-09-28,2019-09-27,2017-03-30,2019-09-25,2016-09-28,2019-09-28,3,1
117041,16本钢02,2017-10-12,2019-10-11,2017-04-12,2019-10-09,2016-10-12,2019-10-12,3,0
117042,16世宝债,2017-04-14,2018-10-12,2017-04-14,2018-10-12,2016-10-13,2018-10-13,2,5
117043,16飞投02,2017-09-28,2019-09-27,2017-03-29,2019-09-25,2016-09-28,2019-09-28,3,0
117044,16飞投03,2017-10-18,2019-10-17,2017-04-19,2019-10-15,2016-10-18,2019-10-18,3,0
117045,16恒逸01,2019-07-21,2018-04-17,2017-04-21,2018-04-17,2016-10-21,2018-04-18,1.4904,0
117046,16牧原01,2018-06-29,2017-11-16,2017-10-25,2018-09-27,2016-09-29,2017-11-17,1.1342,0
117047,16牧原02,2019-06-29,2019-08-04,2019-01-28,2019-08-02,2016-09-29,2019-08-05,2.8493,0
117048,16牧原03,2020-06-29,2020-09-21,2019-09-30,2020-09-22,2016-09-29,2020-09-22,3.9836,0
117049,16原龙01,2019-07-25,2019-09-11,2017-09-15,2019-09-12,2016-10-25,2019-09-12,2.8822,0
117050,16东方EB,,2017-10-31,2017-05-03,2017-10-27,2016-11-01,2017-11-01,1,0
117051,16沃金E1,2018-05-14,2018-11-13,2017-11-15,2018-11-09,2016-11-14,2018-11-14,2,2
117052,16雅本E1,2018-06-02,2018-11-27,2017-06-02,2018-11-28,2016-12-02,2018-11-28,1.989,3
117053,16澳洋E1,2018-11-22,2019-08-11,2017-05-23,2019-11-19,2016-11-22,2019-08-12,2.7205,3
117054,16本钢E3,2017-11-23,2019-11-22,2017-05-24,2019-11-20,2016-11-23,2019-11-23,3,0
117055,16苏协E2,2017-11-23,2019-11-22,2017-05-26,2019-11-20,2016-11-23,2019-11-23,3,1
