bond_code,bond_price,convert_value,premium_rate,ytm,remaining_size,convert_price,maturity_redemption_price,coupon_rate_1,coupon_rate_2,coupon_rate_3,coupon_rate_4,coupon_rate_5,coupon_rate_6,coupon_rate_7,coupon_rate_8,coupon_rate_9,coupon_rate_10
113679,139.033,108.941,27.6223,-3.9171,8.8,12.75,115.0,0.3,0.5,1.0,1.5,2.0,2.5,,,,
127096,200.5,175.358,14.3375,-11.1751,2.955,13.27,115.0,0.5,0.7,1.0,1.7,2.5,3.0,,,,
123229,134.072,80.0,67.59,-2.8706,5.0,10.0,115.0,0.3,0.5,1.0,1.8,2.5,3.0,,,,
123228,,280.981,,,11.95,61.57,115.0,0.2,0.4,0.8,1.5,2.0,2.5,,,,
123227,,92.688,,,3.63,53.34,115.0,0.3,0.5,1.0,1.5,2.5,3.0,,,,
113678,160.843,126.68,26.968,-7.0309,5.17,20.54,115.0,0.2,0.4,1.2,1.8,2.5,3.0,,,,
127095,138.489,105.182,31.6661,-3.887,7.0,9.07,115.0,0.2,0.4,0.8,1.5,2.0,2.5,,,,
127094,109.569,108.525,0.962,90.5216,3.16,10.44,115.0,0.3,0.5,1.0,1.7,2.4,3.0,,,,
127093,137.49,91.527,50.218,-3.9593,2.43,10.15,113.0,0.25,0.45,0.9,1.7,2.5,2.8,,,,
123226,,236.416,,,5.2,36.44,115.0,0.2,0.4,0.8,1.5,1.8,2.5,,,,
123225,140.304,109.913,27.6501,-3.5818,8.0,27.44,118.0,0.3,0.5,1.0,1.5,2.0,3.0,,,,
127092,332.0,241.108,37.6976,-18.2496,7.3,12.09,116.0,0.2,0.4,1.0,1.5,2.0,3.2,,,,
123224,171.517,136.773,25.4027,-8.6682,5.0,36.82,115.0,0.2,0.4,0.6,1.7,2.4,3.0,,,,
123223,136.91,90.836,50.7222,-3.9754,3.6,14.95,113.0,0.3,0.5,1.0,1.5,2.5,3.0,,,,
113677,290.271,231.002,25.6574,-17.2641,10.5,33.74,112.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
118045,,87.336,,,3.0,42.72,112.0,0.2,0.4,0.6,1.5,1.8,2.5,,,,
118044,139.215,128.466,8.3672,-4.5452,4.42,18.9,113.0,0.2,0.4,0.8,1.5,2.0,2.5,,,,
123222,207.5,169.065,22.7339,-12.3022,5.0,16.68,115.0,0.2,0.4,1.0,1.5,1.8,2.5,,,,
123221,,112.986,,,5.0,14.4,108.0,0.3,0.5,1.0,1.5,1.8,2.5,,,,
127091,,176.348,,,14.92068,34.67,111.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
113676,133.601,,,,5.76,,115.0,0.2,0.4,0.8,1.5,1.8,2.0,,,,
123220,137.974,95.829,43.9794,-4.0688,3.281967,8.87,115.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
111017,133.265,104.135,27.9733,-4.1986,8.7,7.98,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
118043,,128.665,,,7.0,21.28,115.0,0.3,0.5,0.8,1.5,2.0,3.0,,,,
123219,,155.657,,,6.0,15.29,113.0,0.3,0.5,1.0,1.5,2.5,3.0,,,,
113675,,128.53,,,11.6,51.35,115.0,0.3,0.5,1.0,1.5,2.0,3.0,,,,
123218,,99.325,,,3.8,29.62,115.0,0.3,0.5,1.0,1.8,2.5,3.0,,,,
118042,144.896,94.314,53.6315,-5.2329,11.4,84.42,115.0,0.2,0.4,0.8,1.5,2.0,2.5,,,,
110095,146.708,118.447,23.8596,-6.5544,26.0,6.18,110.0,0.2,0.5,1.0,1.5,1.8,2.0,,,,
123217,,108.331,,,5.7,41.77,110.0,0.3,0.4,0.8,1.5,1.8,2.0,,,,
123216,135.7,92.204,47.1737,-3.5976,21.98,6.67,115.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
123215,140.5,114.74,22.4508,-3.8168,10.0,19.2,118.0,0.3,0.5,1.0,1.5,2.0,3.0,,,,
118041,139.74,102.42,36.4382,-4.3684,6.2,23.14,114.0,0.2,0.4,1.0,1.8,2.5,3.0,,,,
123214,128.989,82.202,56.9171,-2.6601,4.55,6.63,113.0,0.3,0.5,1.0,1.5,2.0,2.5,,,,
123213,249.778,233.473,6.9837,-15.9748,10.0,7.14,112.0,0.3,0.5,1.0,1.5,2.0,2.5,,,,
113068,,142.222,,,14.5,6.75,108.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
123211,170.2,129.418,31.5118,,6.5,9.28,,0.3,0.5,1.0,1.5,2.0,2.5,,,,
113067,134.197,100.135,34.0161,-5.224,30.0,7.4,107.0,0.2,0.4,0.8,1.2,1.8,2.0,,,,
123210,,95.141,,,12.14756,111.74,108.0,0.3,0.4,0.8,1.5,1.8,2.0,,,,
123212,,86.296,,,8.998,23.57,113.0,0.3,0.5,1.0,1.5,2.0,2.5,,,,
123209,195.3,160.045,22.0282,-11.8692,2.185,17.77,113.0,0.3,0.5,1.0,1.5,2.5,3.0,,,,
118040,140.489,94.809,48.1811,-4.3129,4.3,28.51,115.0,0.5,0.7,1.0,1.8,2.5,3.0,,,,
111016,,124.397,,,5.77,11.6,115.0,0.2,0.4,0.8,1.5,2.0,3.0,,,,
123208,,71.453,,,10.39,11.63,,0.3,0.5,1.0,1.5,1.8,2.0,,,,
127090,138.35,95.176,45.3623,-4.353,4.62,25.5,114.0,0.2,0.4,0.8,1.5,2.0,2.5,,,,
