bond_code,bond_name,stock_code,issue_size,rating,maturity_date,convert_price,original_price,listing_date,delist_date,redeem_pct,redeem_days,redeem_window,putback_pct,putback_days,putback_window,revise_pct,revise_days,revise_window,bond_price,convert_value,premium_rate,ytm,remaining_size,maturity_redemption_price,coupon_rate_1,coupon_rate_2,coupon_rate_3,coupon_rate_4,coupon_rate_5,coupon_rate_6,coupon_rate_7,coupon_rate_8,coupon_rate_9,coupon_rate_10
128137,洁美转债,002859,6.0,AA-,2026-11-04,26.46,27.77,2020-12-01,,130.0,15.0,30.0,70.0,30.0,30.0,80.0,15.0,30.0,180.0,155.858,15.4897,-61.5997,6.0,112.0,0.4,0.6,1.0,1.5,1.8,2.0,,,,
113041,紫金转债,601899,60.0,AAA,2021-06-28,7.01,7.01,2020-11-27,2021-06-28,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,459.344,,,60.0,106.0,0.2,0.4,0.6,0.8,1.5,,,,,
128136,立讯转债,002475,30.0,AA+,2026-11-03,55.97,58.62,2020-12-02,,130.0,15.0,30.0,70.0,30.0,30.0,80.0,15.0,30.0,122.376,82.794,47.8078,-19.241,30.0,108.0,0.1,0.2,0.3,1.5,1.8,2.0,,,,
123075,贝斯转债,300580,6.0,AA-,2023-07-28,23.99,23.99,2020-11-23,2023-08-07,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,90.204,,,6.0,110.0,0.4,0.6,1.0,1.5,2.0,2.5,,,,
110076,华海转债,600521,18.426,AA,2026-11-02,33.06,34.66,2020-11-25,,130.0,15.0,30.0,70.0,30.0,30.0,80.0,15.0,30.0,120.391,45.281,165.8753,-14.2004,18.426,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
113607,伟20转债,603568,12.0,AA,2021-12-29,22.01,22.01,2020-11-27,2021-12-29,130.0,20.0,30.0,70.0,30.0,30.0,90.0,10.0,30.0,,118.355,,,12.0,110.0,0.3,0.5,1.0,1.5,1.8,2.0,,,,
113606,荣泰转债,603579,6.0,AA-,2025-09-12,33.32,33.32,2020-11-20,2025-09-12,130.0,15.0,30.0,70.0,30.0,30.0,80.0,15.0,30.0,,60.294,,,6.0,115.0,0.5,0.7,1.0,1.5,2.5,3.0,,,,
123074,隆利转债,300752,3.245,AA-,2021-12-16,29.53,29.53,2020-11-16,2021-12-24,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,56.756,,,3.245,118.0,0.4,0.6,1.0,1.5,2.5,3.0,,,,
123073,同和转债,300636,3.6,A+,2022-08-16,36.34,36.34,2020-11-16,2022-08-24,130.0,20.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,20.501,,,3.6,116.0,0.5,0.7,1.2,1.8,2.2,2.8,,,,
127023,华菱转2,000932,40.0,AAA,2021-07-16,5.18,5.18,2020-11-19,2021-07-27,125.0,10.0,30.0,70.0,30.0,30.0,75.0,15.0,30.0,,98.456,,,40.0,106.0,0.2,0.4,0.8,1.2,1.5,2.0,,,,
113605,大参转债,603233,14.05,AA,2026-10-22,17.35,83.85,2020-11-13,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,123.882,99.539,24.4557,-19.3978,14.05,110.0,0.3,0.6,1.0,1.5,1.8,2.0,,,,
113040,星宇转债,601799,15.0,AA+,2021-08-03,158.0,158.0,2020-11-16,2021-08-03,130.0,15.0,30.0,70.0,30.0,30.0,80.0,20.0,30.0,,76.013,,,15.0,108.0,0.2,0.4,0.6,0.8,1.5,2.0,,,,
123071,天能转债,300569,7.0,AA-,2026-10-21,6.7,20.05,2020-11-25,,130.0,15.0,30.0,70.0,30.0,30.0,90.0,10.0,20.0,132.569,110.597,19.8667,,7.0,,0.4,0.6,1.0,1.6,2.5,3.0,,,,
123072,乐歌转债,300729,1.42,A+,2026-10-21,32.91,73.13,2020-11-10,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,126.075,37.344,237.6044,-8.3809,1.42,120.0,0.5,0.8,1.8,3.0,3.5,4.0,,,,
128135,洽洽转债,002557,13.4,AA,2026-10-20,55.93,60.83,2020-11-18,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,114.736,37.028,209.8628,0.4021,13.4,115.0,0.3,0.6,1.0,1.5,1.8,2.0,,,,
