股票代码,股票名称,现价,总市值(亿),流通市值(亿),PE(动),净利润(亿),年度涨跌幅(%),单周最大涨幅(%),单周最大跌幅(%),平均换手率(%),峰值换手率(%),价格区间高,价格区间低,价格波幅(%),波段次数,放量日数,最长连续放量,高位放量日,最大量比,平均放量倍数
600796,钱江生化,6.2,53.73,19.31,26.62,2.02,11.91,6.42,-9.72,13.26,52.33,7.02,4.68,50.0,30,10,8,4,3.59,2.54
301051,信濠光电,20.29,41.2,32.67,-35.11,,-10.14,19.15,-12.43,8.72,30.85,28.8,14.48,98.9,29,14,8,4,7.68,3.34
000759,中百集团,7.93,52.53,52.0,-6.8,,-8.11,24.35,-15.19,54.99,154.46,11.0,6.83,61.05,34,15,7,4,3.41,2.62
301106,骏成科技,31.0,31.66,31.66,30.13,1.05,8.81,7.75,-13.07,16.34,96.45,33.49,21.74,54.05,26,10,7,4,4.57,3.02
300542,新晨科技,20.3,60.61,50.28,-200.43,,0.74,37.25,-19.68,26.11,89.84,26.66,13.82,92.91,34,15,7,4,7.07,3.07
300809,华辰装备,38.09,96.57,57.35,167.23,0.58,12.53,25.89,-13.48,29.69,85.48,57.45,29.08,97.56,28,11,7,4,3.78,2.58
301339,通行宝,15.42,89.49,25.91,39.92,2.24,11.02,16.03,-10.36,23.95,68.65,18.69,12.41,50.6,33,15,7,4,4.27,2.81
600405,动力源,5.53,33.89,33.74,-16.35,,13.32,16.4,-10.53,22.5,61.31,7.65,3.88,97.16,22,14,7,4,4.74,2.74
600545,卓郎智能,2.71,48.45,48.45,-15.21,,3.04,12.16,-10.44,14.31,48.42,3.35,1.77,89.27,25,12,7,4,5.74,2.97
002930,宏川智慧,10.93,50.0,47.3,-98.35,,12.33,15.37,-11.09,9.85,48.36,12.8,8.8,45.45,26,17,7,4,5.54,2.71
603018,华设集团,7.69,52.58,52.58,21.24,2.48,-11.81,6.97,-10.55,8.02,47.95,9.47,6.94,36.46,28,10,7,4,6.51,3.41
002242,九阳股份,10.77,82.18,82.04,49.87,1.65,11.72,26.64,-15.61,4.33,30.82,12.65,8.54,48.13,27,9,7,4,7.53,3.7
688589,力合微,23.7,34.44,34.44,115.43,0.3,13.13,9.64,-9.89,12.24,29.54,27.97,18.01,55.3,24,7,7,4,3.68,2.48
688211,中科微至,32.22,42.4,42.4,-17.7,,12.97,13.42,-7.47,2.69,17.44,36.97,24.61,50.22,23,11,7,4,6.0,3.3
603257,中国瑞林,59.62,71.54,14.85,60.76,1.18,2.26,27.65,-10.6,74.79,289.55,164.5,46.31,255.21,18,12,6,4,3.15,2.53
300622,博士眼镜,32.41,73.85,50.49,63.06,1.17,-12.92,19.99,-11.27,44.3,146.46,45.77,24.7,85.3,24,16,6,4,2.8,2.35
301586,佳力奇,52.75,43.77,27.91,77.3,0.57,4.66,16.21,-8.21,32.3,119.05,67.92,40.78,66.55,22,19,6,4,3.98,2.66
603322,超讯通信,40.56,63.92,63.92,80.07,0.8,11.86,22.57,-23.79,34.79,108.18,60.0,29.08,106.33,24,13,6,4,3.61,2.63
000670,盈方微,,65.28,63.51,-112.96,,8.11,17.99,-10.44,31.72,96.8,10.35,4.84,113.84,31,14,6,4,5.14,2.94
002526,山东矿机,3.78,67.39,66.95,46.08,1.46,-0.53,19.38,-10.77,24.7,76.08,4.93,3.0,64.33,27,12,6,4,4.3,2.77
300793,佳禾智能,17.98,68.42,66.9,178.03,0.38,0.11,12.89,-14.13,23.77,73.25,22.5,11.89,89.23,26,21,6,4,5.11,2.71
603912,佳力图,8.7,47.14,47.14,-80.84,,2.11,27.28,-16.14,21.72,71.43,11.9,6.73,76.82,30,16,6,4,4.18,2.66
600178,东安动力,12.86,59.99,59.99,-1369.82,,17.98,17.43,-17.37,20.45,64.43,16.0,8.88,80.18,28,18,6,4,4.89,2.92
300825,阿尔特,10.86,54.09,52.61,-26.89,,-5.57,13.95,-14.64,16.5,60.88,14.29,7.99,78.85,26,15,6,4,5.57,3.02
301206,三元生物,27.16,54.95,35.38,61.15,0.9,11.63,11.58,-8.23,12.13,51.43,34.2,21.47,59.29,32,17,6,4,6.82,3.17
300894,火星人,12.41,50.42,36.49,-17.33,,-11.74,9.3,-9.83,13.85,47.46,17.13,10.91,57.01,23,12,6,4,4.97,2.74
603138,海量数据,17.36,51.02,50.06,-50.73,,16.75,14.36,-14.76,14.11,46.92,19.17,11.47,67.13,27,14,6,4,7.01,3.24
000789,万年青,5.36,42.74,42.74,428.24,0.1,10.74,11.7,-8.75,5.18,42.76,7.15,4.54,57.49,35,10,6,4,5.54,3.57
603058,永吉股份,9.62,39.89,39.79,30.29,1.32,3.78,9.13,-17.65,10.28,41.38,10.99,6.56,67.53,24,14,6,4,5.5,3.28
000650,仁和药业,6.13,85.82,81.61,16.98,5.05,12.68,14.66,-6.83,8.69,36.65,7.02,4.95,41.82,25,9,6,4,6.84,3.71
300636,同和药业,7.82,32.84,28.73,29.44,1.12,0.77,6.67,-12.31,9.23,30.14,9.48,6.34,49.53,25,9,6,4,3.95,3.05
600199,金种子酒,9.72,63.94,63.94,-47.72,,-13.6,9.78,-7.38,8.74,28.75,12.54,9.51,31.86,28,15,6,4,4.3,2.75
002884,凌霄泵业,17.4,62.24,47.51,13.28,4.69,2.65,7.49,-10.89,6.23,17.54,18.79,13.1,43.44,30,12,6,4,3.17,2.57
000885,城发环境,13.97,89.7,89.7,7.37,12.17,13.3,11.88,-6.93,3.81,10.14,15.98,11.47,39.32,27,7,6,4,4.03,3.1
301609,山大电力,46.41,75.59,16.13,64.93,1.16,-17.63,8.62,-14.39,49.02,185.2,88.44,40.9,116.23,15,6,5,4,3.64,3.06
301182,凯旺科技,40.76,39.06,39.06,-57.76,,18.7,24.77,-16.64,37.16,175.57,54.5,25.0,118.0,26,14,5,4,5.46,2.87
300853,申昊科技,22.31,32.78,24.6,-19.07,,14.53,54.8,-18.17,33.61,141.78,36.65,16.46,122.66,23,12,5,4,3.23,2.56
