股票代码,股票名称,现价,总市值(亿),流通市值(亿),PE(动),净利润(亿),年度涨跌幅(%),单周最大涨幅(%),单周最大跌幅(%),平均换手率(%),峰值换手率(%),价格区间高,价格区间低,价格波幅(%),波段次数,放量日数,最长连续放量,高位放量日,最大量比,平均放量倍数
300194,福安药业,4.59,54.61,44.45,24.63,2.22,8.0,7.25,-10.28,14.17,59.66,5.46,3.7,47.57,25,10,4,6,3.7,2.58
603086,先达股份,8.58,37.31,37.31,14.28,2.61,102.36,49.54,-9.97,37.18,105.49,12.21,4.16,193.51,17,16,8,6,6.44,3.35
300441,鲍斯股份,7.96,51.3,49.87,23.91,2.15,-7.76,17.7,-10.45,10.85,47.65,11.96,7.26,64.74,27,13,6,7,3.54,2.71
301323,新莱福,59.98,63.33,40.59,45.48,1.39,52.08,49.93,-17.78,19.49,99.15,84.9,30.51,178.27,23,17,9,9,5.12,3.27
002269,美邦服饰,2.01,50.5,50.5,-54.91,,-10.67,36.5,-12.87,29.02,96.88,3.23,1.48,118.24,33,16,6,6,4.21,2.73
002866,传艺科技,19.36,56.05,35.09,61.03,0.92,26.7,16.12,-13.23,31.93,98.79,22.11,11.81,87.21,23,26,5,11,5.19,2.8
300110,华仁药业,3.34,39.49,39.44,54.26,0.73,-0.6,7.01,-9.39,8.72,17.48,3.75,2.71,38.38,27,2,3,0,2.38,2.24
002663,普邦股份,2.0,34.47,25.86,-66.22,,8.11,11.83,-17.13,11.55,31.45,2.55,1.38,84.78,31,9,4,3,3.89,2.67
301266,宇邦新材,38.98,42.87,40.67,60.95,0.7,18.19,11.99,-14.59,22.53,62.84,41.9,25.95,61.46,23,13,5,5,3.37,2.47
002198,嘉应制药,7.38,37.45,37.45,128.89,0.29,8.05,14.6,-12.53,10.06,43.02,8.43,5.66,48.94,27,14,5,6,5.13,3.18
002150,通润装备,20.27,73.15,72.68,40.13,1.82,53.79,36.73,-19.91,21.75,94.08,25.04,9.84,154.47,36,18,7,1,6.79,2.95
301089,拓新药业,30.6,38.72,27.84,-96.29,,13.71,45.03,-10.25,26.27,124.72,41.5,23.2,78.88,23,15,7,8,5.82,2.96
920122,中纺标,36.2,33.39,12.93,148.71,0.22,-21.42,9.6,-13.68,15.11,43.07,55.53,33.27,66.91,25,19,6,3,4.12,2.74
601113,华鼎股份,4.79,52.89,52.89,21.13,2.5,16.83,12.31,-9.11,11.29,37.1,4.98,3.4,46.47,27,16,5,9,5.09,3.1
300625,三雄极光,12.55,35.06,20.33,-250.45,,12.46,6.15,-7.76,6.06,18.32,13.27,9.3,42.69,31,8,4,5,3.37,2.56
300332,天壕能源,5.63,48.71,46.71,38.16,1.28,16.56,13.37,-16.94,13.18,53.38,6.95,4.0,73.75,29,16,8,6,4.43,2.94
920179,凯德石英,45.1,33.81,26.93,114.02,0.3,63.94,53.15,-17.96,32.57,103.46,52.58,23.77,121.2,33,18,6,12,4.99,2.72
688389,普门科技,14.13,60.55,60.55,27.85,2.17,0.78,6.66,-10.48,6.01,22.81,16.25,12.18,33.42,29,10,9,5,2.85,2.44
002515,金字火腿,6.36,77.0,76.99,262.31,0.29,42.6,12.37,-17.8,15.08,87.67,8.47,4.03,110.17,29,18,7,6,5.84,3.08
001234,泰慕士,28.38,31.05,25.97,67.42,0.46,75.73,61.05,-27.82,22.8,84.46,44.17,14.36,207.59,29,22,7,4,6.94,3.04
002349,精华制药,7.78,64.55,63.34,27.45,2.35,8.06,6.15,-7.32,8.05,18.58,8.41,6.27,34.13,27,11,6,5,4.0,2.62
300109,新开源,17.66,85.84,79.47,32.01,2.68,25.43,9.4,-10.11,12.89,26.47,19.97,12.5,59.76,25,16,4,8,3.48,2.44
603585,苏利股份,19.78,36.97,36.15,19.92,1.86,52.86,30.69,-13.71,13.28,58.49,24.02,11.52,108.51,27,25,11,11,8.05,3.55
301092,争光股份,39.09,52.59,23.72,49.89,1.05,70.85,13.89,-6.13,28.13,92.28,41.02,21.8,88.17,27,20,6,7,5.08,3.1
